Date,Region,Product,Customers,Revenue,Operating_Cost,Marketing_Cost,Profit
2024-05-10,South,Credit Card,251,161825,16449,9348,136028
2024-12-31,South,Investment,438,196409,61461,17290,117658
2024-11-10,East,Credit Card,206,51325,22737,12357,16231
2022-05-02,East,Loan,149,176407,63316,10415,102676
2023-04-12,West,Mortgage,445,160608,68113,15587,76908
2022-11-27,South,Mortgage,171,51085,35386,14546,1153
2022-03-29,East,Mortgage,455,184359,84198,10000,90161
2024-05-21,South,Credit Card,364,28000,24275,2292,1433
2022-05-11,South,Mortgage,159,100777,80659,14791,5327
2024-02-09,South,Insurance,216,179263,80760,15947,82556
2022-12-10,North,Investment,179,115160,69539,3534,42087
2024-03-16,West,Mortgage,319,32967,67465,3391,-37889
2023-01-21,North,Insurance,187,144481,41757,19404,83320
2024-08-13,West,Insurance,225,195646,44658,2619,148369
2022-10-04,South,Credit Card,113,164318,86282,11488,66548
2023-04-05,South,Credit Card,180,34347,85661,14478,-65792
2022-01-22,East,Investment,377,87358,80320,11872,-4834
2022-09-10,West,Investment,237,166454,52370,14823,99261
2024-01-18,West,Loan,326,102299,81630,7377,13292
2024-05-06,North,Investment,399,118032,39204,9799,69029
2023-04-20,West,Credit Card,196,136815,59656,17117,60042
2024-12-18,South,Insurance,384,100296,53785,19166,27345
2023-05-26,East,Loan,69,159879,52842,16884,90153
2023-12-01,North,Investment,363,184275,37118,3716,143441
2024-09-02,East,Insurance,91,188857,88738,14881,85238
2022-07-09,West,Credit Card,399,74042,75355,10445,-11758
2024-08-15,West,Mortgage,443,45710,18783,4871,22056
2023-11-18,North,Loan,456,84478,50036,17084,17358
2024-08-15,West,Insurance,393,61411,62631,3698,-4918
2023-07-17,East,Credit Card,189,35773,70974,10164,-45365
2024-04-11,South,Credit Card,58,100693,20215,5401,75077
2023-10-09,North,Loan,128,35710,37729,8648,-10667
2022-01-21,West,Loan,462,142785,28836,10540,103409
2024-04-20,East,Investment,387,182643,60299,19313,103031
2022-06-16,South,Investment,197,115415,14359,4228,96828
2023-01-23,West,Loan,242,145585,35234,7576,102775
2023-08-24,North,Loan,308,151783,66093,11870,73820
2022-11-12,West,Insurance,185,140507,43882,19410,77215
2022-01-14,West,Investment,88,195721,24563,16600,154558
2022-08-30,West,Credit Card,369,144858,82051,6637,56170
2024-02-16,South,Investment,336,41889,67704,19174,-44989
2023-07-19,South,Investment,416,182376,33290,13583,135503
2024-06-16,West,Loan,428,27439,57437,4467,-34465
2022-04-02,West,Loan,199,113909,79320,14333,20256
2024-08-13,North,Investment,401,61126,36838,19487,4801
2023-05-24,West,Mortgage,54,190126,88001,6863,95262
2024-02-15,East,Mortgage,285,24588,81101,2859,-59372
2022-02-04,East,Investment,285,104039,33721,8547,61771
2022-07-25,North,Mortgage,363,27511,35755,19869,-28113
2024-10-22,South,Investment,154,42674,60206,7228,-24760
2024-10-18,West,Loan,256,150660,64883,14525,71252
2023-07-20,North,Loan,288,76820,49278,10658,16884
2023-12-04,South,Loan,368,123761,36851,5280,81630
2023-02-06,North,Credit Card,366,119412,55514,14956,48942
2023-12-31,South,Loan,101,96666,80956,16973,-1263
2022-06-11,West,Loan,157,39238,34897,7724,-3383
2022-07-21,North,Investment,406,84333,62071,4130,18132
2024-09-22,West,Mortgage,82,105134,23507,8857,72770
2022-09-27,North,Mortgage,71,62294,81071,11507,-30284
2024-03-26,South,Loan,356,91362,78008,15174,-1820
2023-04-01,North,Loan,60,185559,87665,14469,83425
2024-10-13,East,Loan,176,88396,63430,3183,21783
2022-10-23,East,Investment,491,61930,46676,17247,-1993
2023-12-21,North,Investment,99,195544,47380,7426,140738
2022-12-04,East,Investment,247,85602,29446,7491,48665
2024-05-28,West,Mortgage,66,44285,23630,2766,17889
2024-12-12,East,Credit Card,479,171301,56339,12783,102179
2024-03-02,East,Mortgage,93,45413,49282,9015,-12884
2022-08-05,West,Investment,234,168382,24632,5909,137841
2024-02-03,West,Insurance,438,89141,54683,7089,27369
2022-07-07,South,Credit Card,88,135028,67252,2419,65357
2023-01-15,West,Loan,491,138437,66673,18645,53119
2023-05-08,North,Mortgage,186,97113,58182,18172,20759
2024-11-30,East,Credit Card,328,44517,78251,17364,-51098
2022-01-15,South,Insurance,480,172458,66634,16647,89177
2022-03-06,West,Credit Card,213,132047,80836,2902,48309
2023-06-05,East,Mortgage,80,178037,61879,15037,101121
2023-10-10,North,Investment,389,168283,87432,9226,71625
2024-12-22,North,Loan,72,79525,61580,2914,15031
2023-08-16,South,Investment,489,123453,13379,17165,92909
2023-01-27,North,Investment,248,76170,88827,2049,-14706
2023-02-23,East,Mortgage,223,135072,42095,9921,83056
2022-10-16,West,Investment,107,77941,18881,4009,55051
2023-01-14,North,Investment,469,118312,55534,18308,44470
2022-08-19,West,Mortgage,245,85452,87820,2631,-4999
2024-10-14,East,Mortgage,137,70465,55615,19957,-5107
2022-02-10,East,Insurance,493,164335,55523,9910,98902
2024-11-17,West,Investment,191,40107,16325,9568,14214
2022-05-15,East,Credit Card,330,162440,48193,10914,103333
2022-07-20,South,Loan,256,40137,78336,17642,-55841
2024-02-19,North,Loan,221,26930,77839,4310,-55219
2024-07-18,South,Mortgage,351,54556,72801,10400,-28645
2024-11-22,South,Mortgage,446,30199,80530,19272,-69603
2024-12-07,South,Insurance,367,61072,11320,14651,35101
2023-05-18,West,Investment,324,198907,53227,9659,136021
2023-02-11,West,Mortgage,445,56534,34479,16734,5321
2024-03-15,East,Mortgage,417,72483,66023,8752,-2292
2022-04-09,West,Loan,395,157227,24534,18288,114405
2023-11-15,East,Investment,97,162806,43982,6447,112377
2023-12-27,West,Insurance,210,86899,84784,15459,-13344
2024-08-18,East,Mortgage,214,31111,38682,13292,-20863
2023-09-05,North,Mortgage,439,114107,20746,7135,86226
2023-10-05,East,Mortgage,428,194325,34044,10029,150252
2024-10-25,North,Loan,266,199449,38443,14493,146513
2023-05-18,East,Mortgage,166,59420,28165,4065,27190
2024-02-06,West,Mortgage,386,121679,59149,10006,52524
2023-02-02,West,Loan,476,163223,60990,10368,91865
2024-05-20,North,Mortgage,300,167323,36000,4578,126745
2024-03-05,South,Investment,405,91168,72281,12867,6020
2023-01-28,South,Investment,483,154504,40964,10713,102827
2022-07-26,East,Loan,293,167146,61592,19664,85890
2024-11-04,West,Investment,479,116299,25111,7376,83812
2024-06-10,South,Insurance,296,58206,62154,16330,-20278
2024-05-13,West,Mortgage,122,34942,64340,9385,-38783
2024-01-13,West,Insurance,333,101189,29789,12854,58546
2023-07-18,West,Investment,244,174108,51772,7001,115335
2024-10-17,East,Loan,316,125992,13232,13427,99333
2022-04-06,North,Loan,453,156965,62203,8535,86227
2023-04-30,East,Insurance,136,37733,83150,11184,-56601
2022-08-19,South,Investment,295,85843,45650,11116,29077
2024-01-19,North,Mortgage,207,160610,75895,5041,79674
2023-06-25,South,Investment,406,33919,33452,8130,-7663
2024-11-25,North,Investment,85,76207,61349,14291,567
2023-06-09,North,Loan,285,158881,42866,3584,112431
2023-08-01,East,Credit Card,297,83523,17334,10821,55368
2023-11-13,West,Mortgage,149,196838,61855,5146,129837
2023-07-11,West,Mortgage,276,181058,87470,4593,88995
2024-10-09,North,Loan,168,44093,24256,13188,6649
2023-10-08,East,Investment,403,51660,19003,17597,15060
2024-03-06,South,Loan,245,60877,69854,2775,-11752
2024-11-17,South,Investment,137,132220,58683,12110,61427
2022-07-09,West,Credit Card,85,62472,39270,2734,20468
2023-09-25,West,Credit Card,363,100832,41827,4114,54891
2023-09-20,South,Insurance,77,153355,66559,3173,83623
2024-08-30,South,Investment,88,125856,84968,15143,25745
2023-12-11,East,Loan,371,182152,64855,15722,101575
2023-10-11,South,Loan,476,130520,57284,11428,61808
2022-11-14,East,Loan,54,44518,21262,11764,11492
2023-11-15,West,Insurance,190,171234,81072,11716,78446
2023-10-26,South,Mortgage,277,45443,59836,11598,-25991
2023-03-18,West,Loan,58,152454,89965,19625,42864
2023-07-18,North,Credit Card,408,105534,76434,12450,16650
2024-08-09,North,Loan,106,109015,52647,14630,41738
2023-11-30,North,Loan,332,44693,31451,4535,8707
2022-04-23,South,Loan,494,55294,49582,11185,-5473
2022-01-02,West,Mortgage,408,67780,48214,6589,12977
2023-10-04,South,Loan,227,111330,77367,11702,22261
2022-08-08,West,Mortgage,131,109739,81120,3958,24661
2024-05-04,East,Mortgage,467,52029,78017,4585,-30573
2023-01-20,South,Insurance,134,64774,22617,9620,32537
2024-12-12,North,Credit Card,114,175214,37150,17286,120778
2023-12-31,East,Loan,478,88692,67364,2002,19326
2022-09-04,West,Loan,392,47921,16164,4843,26914
2024-04-15,South,Loan,339,162111,30795,3267,128049
2022-07-22,West,Mortgage,405,93980,37868,4474,51638
2022-05-03,West,Investment,185,152701,43385,19809,89507
2023-02-05,South,Credit Card,299,175424,55800,14117,105507
2024-02-06,South,Loan,143,68492,83876,12860,-28244
2022-10-21,West,Investment,97,131260,80838,12496,37926
2022-10-07,West,Investment,469,41207,17886,19114,4207
2024-06-02,East,Investment,149,31523,17789,4813,8921
2022-07-17,North,Credit Card,387,181201,63529,7192,110480
2024-09-08,West,Investment,243,89579,66650,19347,3582
2024-01-22,North,Loan,166,186499,41798,9896,134805
2022-05-24,East,Loan,316,36003,26496,13385,-3878
2023-09-01,North,Insurance,357,66596,15332,5386,45878
2022-07-06,North,Mortgage,213,23816,84797,8879,-69860
2023-04-09,East,Investment,336,39110,20685,4497,13928
2023-10-22,West,Mortgage,73,86104,52053,15039,19012
2024-02-03,North,Mortgage,454,65598,28613,4803,32182
2024-08-12,West,Mortgage,145,155177,87699,13825,53653
2023-02-07,West,Mortgage,303,130748,51940,3217,75591
2022-05-27,South,Mortgage,463,121076,28741,2525,89810
2024-05-13,West,Loan,170,130732,63590,9566,57576
2023-05-04,West,Credit Card,121,89590,16751,2280,70559
2024-07-17,North,Investment,402,109797,62203,5823,41771
2023-07-05,West,Investment,420,40382,48007,3721,-11346
2022-12-04,West,Loan,113,118440,73521,8521,36398
2024-05-21,South,Loan,292,41170,29365,15197,-3392
2023-10-03,South,Mortgage,176,50295,34405,18467,-2577
2023-04-18,North,Credit Card,422,111535,22854,13532,75149
2022-05-31,North,Investment,88,70617,79500,17890,-26773
2022-09-20,South,Insurance,434,57539,80396,10225,-33082
2022-05-24,South,Loan,402,138520,11123,14132,113265
2022-12-12,East,Insurance,475,168992,52011,11389,105592
2023-09-16,West,Investment,126,186164,59967,5799,120398
2024-10-13,North,Loan,54,193411,24650,8966,159795
2024-05-30,North,Investment,189,32037,73290,12745,-53998
2022-01-02,West,Loan,301,134317,12858,16520,104939
2024-06-15,West,Investment,206,190624,59834,14487,116303
2022-09-11,North,Insurance,308,165518,67292,17968,80258
2023-03-29,South,Credit Card,366,94795,79191,7252,8352
2024-11-26,South,Loan,484,47514,37178,5032,5304
2024-10-11,West,Insurance,469,30582,39175,7162,-15755
2022-01-09,North,Investment,416,124808,44210,6199,74399
2024-03-26,West,Insurance,286,199530,57834,15328,126368
2022-07-27,South,Loan,124,141242,50586,17448,73208
2023-02-08,East,Insurance,435,168259,14500,11769,141990
2022-06-01,East,Investment,78,78537,32377,8846,37314
2022-02-23,South,Mortgage,90,80819,53161,12181,15477
2023-09-20,West,Credit Card,78,143113,42093,7313,93707
2023-08-10,East,Credit Card,149,38531,53221,9632,-24322
2022-04-14,South,Mortgage,369,59164,70977,3909,-15722
2022-09-11,North,Loan,107,100665,13120,10260,77285
2023-05-25,West,Insurance,260,87259,12828,19611,54820
2022-04-09,West,Insurance,187,147362,33435,10003,103924
2022-06-02,East,Mortgage,60,126627,63447,12536,50644
2024-07-02,West,Mortgage,440,108284,64256,18806,25222
2024-05-27,East,Investment,382,128605,46157,9325,73123
2022-12-04,East,Investment,413,48337,87470,3149,-42282
2024-04-01,South,Credit Card,238,94130,37739,9043,47348
2024-08-14,East,Loan,499,189435,46419,14549,128467
2022-06-10,North,Loan,143,20269,29519,19004,-28254
2024-03-11,West,Mortgage,391,98901,48031,15228,35642
2023-02-02,East,Credit Card,230,76732,21025,18977,36730
2024-03-26,West,Credit Card,370,103074,13495,16816,72763
2023-02-05,East,Investment,332,76167,27721,2611,45835
2023-10-02,South,Insurance,440,116004,31472,15144,69388
2024-11-22,North,Loan,370,44284,58940,16668,-31324
2023-11-19,West,Credit Card,107,52744,16196,12159,24389
